Work item ID,Parent ID,Work type,Summary,Description,Priority,Labels,Due Date,Epic Link
FE-FOUNDATION,,Epic,FE-FOUNDATION,Frontend foundation: project setup auth organizations RBAC (Days 1-7),High,darafin frontend mvp week1,2026-08-24,
FE-ONBOARDING,,Epic,FE-ONBOARDING,Frontend onboarding and organization admin (Days 8-14),High,darafin frontend mvp week2,2026-08-31,
FE-INVOICES,,Epic,FE-INVOICES,Frontend invoices and documents (Days 15-21),High,darafin frontend mvp week3,2026-09-07,
FE-FINANCING,,Epic,FE-FINANCING,Frontend facilities financing and approvals (Days 22-26),High,darafin frontend mvp week4,2026-09-12,
FE-DELIVERY,,Epic,FE-DELIVERY,Frontend payments ledger notifications and MVP delivery (Days 27-30),High,darafin frontend mvp week5,2026-09-16,
F-D1,FE-FOUNDATION,Task,F-D1 Day 1 — Project setup and stack initialization,Backend: repo structure uv settings Celery ADR-001. Initialize Ant Design Ky TanStack Query Zustand RHF Zod per official stack doc.,High,darafin frontend day1 week1,2026-08-18,FE-FOUNDATION
F-D1-1,F-D1,Sub-task,F-D1-1 Initialize frontend folder structure,Create src/app/ src/features/ src/components/ src/lib/api/ src/stores/ src/mocks/,Medium,darafin frontend day1,2026-08-18,
F-D1-2,F-D1,Sub-task,F-D1-2 Install and configure Ant Design v5,ConfigProvider with RTL fa_IR locale and brand theme tokens,Medium,darafin frontend day1,2026-08-18,
F-D1-3,F-D1,Sub-task,F-D1-3 Install core dependencies,Zustand TanStack Query v5 Ky React Hook Form Zod @hookform/resolvers,Medium,darafin frontend day1,2026-08-18,
F-D1-4,F-D1,Sub-task,F-D1-4 Configure Persian font and React 19 compatibility,Add Vazirmatn font. Verify Ant Design + React 19. Apply official patch if needed.,Medium,darafin frontend day1,2026-08-18,
F-D1-5,F-D1,Sub-task,F-D1-5 Create env example and README,Add .env.example with NEXT_PUBLIC_API_URL AUTH_SECRET. Document all env vars.,Medium,darafin frontend day1,2026-08-18,
F-D1-6,F-D1,Sub-task,F-D1-6 Write frontend ADR,Create docs/adr/0001-frontend-stack.md mirroring backend ADR format,Medium,darafin frontend day1 adr,2026-08-18,
F-D1-7,F-D1,Sub-task,F-D1-7 Align repo with official stack,Remove or demote Tailwind as primary UI. Ant Design is sole design system per stack doc.,High,darafin frontend day1,2026-08-18,
F-D2,FE-FOUNDATION,Task,F-D2 Day 2 — HTTP client layout and mocks,Backend: Docker Compose MinIO local dev environment. Set up Ky TanStack Query dashboard layout MSW.,High,darafin frontend day2 week1,2026-08-19,FE-FOUNDATION
F-D2-1,F-D2,Sub-task,F-D2-1 Create Ky HTTP client,Base URL auth header injection automatic retry structured error parsing,Medium,darafin frontend day2,2026-08-19,
F-D2-2,F-D2,Sub-task,F-D2-2 Set up TanStack Query provider,QueryClientProvider default options staleTime retry React Query Devtools,Medium,darafin frontend day2,2026-08-19,
F-D2-3,F-D2,Sub-task,F-D2-3 Build root dashboard layout,Ant Design Layout Sider Menu Header Content with RTL,Medium,darafin frontend day2,2026-08-19,
F-D2-4,F-D2,Sub-task,F-D2-4 Set up MSW for local API mocking,Handlers for health check and placeholder auth responses,Medium,darafin frontend day2,2026-08-19,
F-D2-5,F-D2,Sub-task,F-D2-5 Create shared UI primitives,PageHeader LoadingSpinner ErrorAlert EmptyState components,Medium,darafin frontend day2,2026-08-19,
F-D2-6,F-D2,Sub-task,F-D2-6 Define temporary TypeScript types,User Organization Membership AuthTokens until OpenAPI codegen,Low,darafin frontend day2,2026-08-19,
